Instance,,,HSCA,,,,AutoCCAG,,,,CAmpactor,,,,SamplingCA,,,,PRBOT-its,
,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime,,min_size,avg_size,avg_runtime
apache,,132,135.3,578.6,,135,138.1,607.7,,173,175.8,936.1,,238,242.9,80.4,,168,170.7,412.4
bugzilla,,48,48.0,6.9,,48,48.0,17.4,,48,48.0,6.8,,82,84.0,0.8,,50,50.5,256.0
gcc,,68,69.7,661.7,,74,76.2,690.3,,83,84.4,863.0,,128,130.2,51.6,,83,85.5,423.4
spins,,80,80.0,1.5,,80,82.9,2.8,,91,95.6,3.3,,118,120.4,0.2,,102,103.6,218.5
spinv,,193,193.8,369.7,,210,248.2,3.6,,199,202.6,454.2,,282,286.1,8.5,,- -,- -,- -
benchmark_1,,242,242.8,863.8,,242,242.8,709.6,,275,277.2,923.4,,364,366.3,33.5,,287,290.4,498.0
benchmark_2,,123,126.0,631.1,,126,129.4,812.6,,138,143.9,519.5,,212,215.8,13.3,,148,152.2,360.1
benchmark_3,,49,49.9,56.5,,51,51.0,18.3,,51,52.2,2.6,,74,76.4,0.2,,51,52.8,384.4
benchmark_4,,80,80.0,7.2,,80,80.0,4.7,,80,80.7,56.9,,124,127.5,2.3,,80,81.2,297.9
benchmark_5,,325,326.6,786.8,,326,326.2,929.6,,453,457.1,988.5,,493,497.3,231.5,,- -,- -,- -
benchmark_6,,96,96.0,6.1,,96,96.0,49.0,,96,97.9,146.6,,155,156.8,4.6,,96,102.1,329.3
benchmark_7,,25,25.0,24.8,,25,25.0,80.5,,27,27.7,1.1,,38,38.5,0.1,,28,29.5,436.5
benchmark_8,,250,251.8,733.3,,251,252.0,908.0,,290,294.2,956.8,,380,383.6,52.3,,296,300.0,415.6
benchmark_9,,60,60.0,3.8,,60,60.0,3.9,,60,60.0,7.0,,97,99.7,1.7,,60,60.1,278.1
benchmark_10,,273,274.4,847.1,,273,274.5,867.7,,371,375.9,988.8,,436,442.8,128.8,,332,337.0,676.7
benchmark_11,,271,272.5,777.6,,263,265.3,892.2,,310,313.8,961.5,,405,410.8,39.0,,319,325.6,423.1
benchmark_12,,216,216.0,67.0,,216,216.0,156.2,,260,265.9,949.2,,342,346.1,75.7,,255,258.2,455.0
benchmark_13,,180,180.0,18.7,,180,180.0,76.3,,183,187.7,898.2,,272,275.4,42.3,,183,186.7,409.0
benchmark_14,,216,216.0,8.0,,216,216.0,8.3,,216,218.2,763.8,,304,309.6,22.7,,223,231.2,376.5
benchmark_15,,150,150.0,6.7,,150,150.0,6.4,,150,150.4,119.6,,209,213.7,4.6,,150,150.7,282.6
benchmark_16,,96,96.0,8.0,,96,96.0,158.5,,96,96.4,98.0,,150,153.9,6.6,,96,96.3,264.0
benchmark_17,,216,216.0,67.4,,216,216.0,299.9,,247,251.6,946.0,,333,336.1,57.2,,240,246.5,437.0
benchmark_18,,272,273.8,790.0,,274,275.2,874.8,,340,342.2,992.8,,416,418.8,103.6,,316,319.9,880.5
benchmark_19,,306,307.0,720.4,,307,309.8,933.7,,476,480.5,980.5,,499,503.6,361.4,,- -,- -,- -
benchmark_20,,409,409.2,794.8,,409,409.4,810.6,,573,577.8,984.7,,607,612.5,266.2,,- -,- -,- -
benchmark_21,,216,216.0,4.6,,216,216.0,5.2,,216,217.3,368.0,,285,290.4,16.6,,216,216.0,308.8
benchmark_22,,144,144.0,4.0,,144,144.0,4.0,,144,144.0,76.1,,202,208.6,7.9,,144,144.0,221.4
benchmark_23,,36,36.0,1.9,,36,36.0,128.6,,37,37.0,0.5,,52,53.9,0.1,,37,38.7,496.5
benchmark_24,,283,283.7,799.0,,284,284.2,758.7,,326,328.0,964.8,,416,421.1,56.2,,333,336.9,555.6
benchmark_25,,346,347.8,892.2,,348,348.8,850.2,,444,448.0,986.9,,515,519.1,125.8,,- -,- -,- -
benchmark_26,,158,160.2,723.2,,159,160.2,574.2,,174,174.7,840.5,,242,245.1,16.5,,194,194.9,405.1
benchmark_27,,180,180.0,6.1,,180,180.0,2.5,,180,180.3,143.7,,251,254.7,6.2,,181,187.1,327.4
benchmark_28,,362,365.0,778.1,,363,365.5,927.4,,530,535.2,979.5,,551,556.4,397.5,,- -,- -,- -
benchmark_29,,125,125.0,35.6,,125,125.0,45.1,,125,128.6,845.4,,198,201.5,36.5,,125,126.5,402.0
benchmark_30,,64,64.0,304.5,,65,65.3,498.1,,71,73.2,89.5,,112,114.9,3.8,,74,76.1,320.2
